caller	ncallers	ncalls	tp	fp	sens	ppv
bas	1	37119	1184	35935	0.927899686520376	0.031897411029392
mut	1	2332	1192	1140	0.934169278996865	0.51114922813036
seu	1	41629	1193	40436	0.934952978056426	0.0286579067476999
shi	1	38835	1167	37668	0.914576802507837	0.0300502124372345
sni	1	2341	1018	1323	0.797805642633229	0.434856898761213
str	1	4915	1222	3693	0.957680250783699	0.248626653102747
var	1	2086	1088	998	0.852664576802508	0.521572387344199
uni.bas.mut	2	37959	1241	36718	0.972570532915361	0.0326931689454411
int.bas.mut	2	1492	1135	357	0.889498432601881	0.760723860589812
uni.bas.seu	2	75864	1245	74619	0.975705329153605	0.0164109459031952
int.bas.seu	2	2884	1132	1752	0.887147335423197	0.39251040221914
uni.bas.shi	2	74536	1246	73290	0.976489028213166	0.0167167543200601
int.bas.shi	2	1418	1105	313	0.865987460815047	0.779266572637518
uni.bas.sni	2	38119	1186	36933	0.929467084639498	0.0311130932081114
int.bas.sni	2	1341	1016	325	0.796238244514107	0.757643549589858
uni.bas.str	2	40242	1248	38994	0.978056426332288	0.0310123751304607
int.bas.str	2	1792	1158	634	0.907523510971787	0.646205357142857
uni.bas.var	2	37785	1186	36599	0.929467084639498	0.0313881169776366
int.bas.var	2	1420	1086	334	0.851097178683386	0.764788732394366
uni.mut.seu	2	42268	1209	41059	0.947492163009404	0.028603198637267
int.mut.seu	2	1693	1176	517	0.921630094043887	0.694624926166568
uni.mut.shi	2	39707	1209	38498	0.947492163009404	0.030448031833178
int.mut.shi	2	1460	1150	310	0.901253918495298	0.787671232876712
uni.mut.sni	2	3445	1201	2244	0.941222570532915	0.348621190130624
int.mut.sni	2	1228	1009	219	0.790752351097179	0.821661237785016
uni.mut.str	2	5674	1223	4451	0.95846394984326	0.215544589354952
int.mut.str	2	1573	1191	382	0.933385579937304	0.757151938970121
uni.mut.var	2	3049	1200	1849	0.940438871473354	0.393571662840276
int.mut.var	2	1369	1080	289	0.846394984326019	0.788897005113221
uni.seu.shi	2	72002	1195	70807	0.936520376175549	0.0165967612010777
int.seu.shi	2	8462	1165	7297	0.913009404388715	0.137674308674072
uni.seu.sni	2	42599	1193	41406	0.934952978056426	0.0280053522383155
int.seu.sni	2	1371	1018	353	0.797805642633229	0.742523705324581
uni.seu.str	2	43987	1225	42762	0.960031347962382	0.0278491372450951
int.seu.str	2	2557	1190	1367	0.932601880877743	0.465389127884239
uni.seu.var	2	42040	1193	40847	0.934952978056426	0.0283777354900095
int.seu.var	2	1675	1088	587	0.852664576802508	0.64955223880597
uni.shi.sni	2	39915	1167	38748	0.914576802507837	0.0292371288989102
int.shi.sni	2	1261	1018	243	0.797805642633229	0.807295796986519
uni.shi.str	2	42175	1226	40949	0.960815047021944	0.0290693538826319
int.shi.str	2	1575	1163	412	0.911442006269592	0.738412698412698
